City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Myitkyina,MM,2021-05-30 23:14:40,25.3833,97.4,72.77,99,59,1.9
240,Goderich,CA,2021-05-30 23:12:29,43.7501,-81.7165,54.91,70,5,7.27
241,Vostok,RU,2021-05-30 23:14:41,46.4856,135.8833,43.9,92,100,2.46
242,Kushima,JP,2021-05-30 23:14:41,31.4583,131.2333,72.09,67,33,4.79
243,Kyle,US,2021-05-30 23:14:41,29.9984,-97.8715,82.53,90,90,13.94
244,Panji,ID,2021-05-30 23:14:42,-7.7253,114.0995,74.93,87,97,4.36
245,Butembo,CD,2021-05-30 23:13:35,0.15,29.2833,59.58,88,75,3.67
246,Norman Wells,CA,2021-05-30 23:14:42,65.282,-126.8329,56.59,50,60,10.94
247,Murgab,TM,2021-05-30 23:14:43,37.4966,61.9714,78.67,47,0,9.73
248,Mokrous,RU,2021-05-30 23:14:43,51.2333,47.5167,60.28,95,96,3.76
249,Bethanien,NA,2021-05-30 23:14:44,-26.502,17.1583,57.18,32,9,4.63
250,Adjumani,UG,2021-05-30 23:14:44,3.3779,31.7909,72.34,71,60,2.77
251,Marga,RO,2021-05-30 23:14:45,45.5,22.5167,42.13,95,3,2.08
252,Venezuela,VE,2021-05-30 23:14:45,8.0,-66.0,84.58,58,98,7.16
253,Balta,UA,2021-05-30 23:14:46,47.9355,29.6198,49.71,92,54,6.33
254,Alofi,NU,2021-05-30 23:14:46,-19.0595,-169.9187,80.49,77,68,12.12
255,Ciudad Bolivar,VE,2021-05-30 23:14:46,8.1222,-63.5497,84.33,59,99,13.6
256,Tazovskiy,RU,2021-05-30 23:14:47,67.4667,78.7,37.35,87,72,11.86
257,Oranjemund,NA,2021-05-30 23:14:47,-28.55,16.4333,55.06,92,0,8.28
258,Flinders,AU,2021-05-30 23:14:48,-34.5833,150.8552,57.79,74,0,3.78
259,Hailar,CN,2021-05-30 23:14:48,49.2,119.7,57.88,52,100,6.02
260,Xam Nua,LA,2021-05-30 23:14:49,20.4197,104.0439,69.66,90,99,2.91
261,Chino Valley,US,2021-05-30 23:14:49,34.7575,-112.4538,89.31,9,1,3.0
262,Tuy Hoa,VN,2021-05-30 23:14:49,13.0833,109.3,81.1,78,5,5.14
263,Constitucion,CL,2021-05-30 23:14:50,-35.3333,-72.4167,55.17,73,100,9.42
264,Ushumun,RU,2021-05-30 23:14:50,52.7833,126.5333,55.38,76,86,6.42
265,Camacupa,AO,2021-05-30 23:14:51,-12.0167,17.4833,54.54,43,21,3.38
266,Lieksa,FI,2021-05-30 23:14:51,63.3167,30.0167,45.39,64,75,13.0
267,Yar-Sale,RU,2021-05-30 23:14:52,66.8333,70.8333,35.69,67,7,12.37
268,Port Hedland,AU,2021-05-30 23:14:52,-20.3167,118.5667,69.85,78,90,5.75
269,Abha,SA,2021-05-30 23:14:53,18.2164,42.5053,64.65,55,0,5.46
270,Broken Hill,AU,2021-05-30 23:14:53,-31.95,141.4333,49.77,30,18,8.21
271,Mandalgovi,MN,2021-05-30 23:14:54,45.7625,106.2708,37.94,60,46,17.34
272,Lavrentiya,RU,2021-05-30 23:14:54,65.5833,-171.0,37.74,75,17,12.82
273,Iqaluit,CA,2021-05-30 23:14:55,63.7506,-68.5145,38.7,80,100,5.99
274,Upernavik,GL,2021-05-30 23:14:56,72.7868,-56.1549,31.69,93,100,4.94
275,Ginir,ET,2021-05-30 23:14:56,7.1333,40.7,56.48,73,66,5.23
276,New Norfolk,AU,2021-05-30 23:14:56,-42.7826,147.0587,42.75,87,48,2.75
277,Bollnas,SE,2021-05-30 23:14:57,61.3482,16.3946,56.84,63,80,3.91
278,Caravelas,BR,2021-05-30 23:14:57,-17.7125,-39.2481,75.2,86,14,6.44
279,Hasaki,JP,2021-05-30 23:14:58,35.7333,140.8333,73.18,65,26,12.57
280,Tallahassee,US,2021-05-30 23:12:21,30.4383,-84.2807,86.0,39,20,1.99
281,Savinka,RU,2021-05-30 23:14:58,50.0785,47.0994,63.43,94,97,5.79
282,Aquiraz,BR,2021-05-30 23:14:59,-3.9014,-38.3911,82.18,80,16,6.44
283,General Roca,AR,2021-05-30 23:14:59,-39.0333,-67.5833,63.0,43,99,27.51
284,Kuryk,KZ,2021-05-30 23:15:00,43.2,51.65,72.14,72,5,21.47
285,Tiksi,RU,2021-05-30 23:15:00,71.6872,128.8694,34.93,88,74,10.56
286,Vao,NC,2021-05-30 23:15:01,-22.6667,167.4833,69.49,59,92,13.42
287,Shuangcheng,CN,2021-05-30 23:15:03,45.35,126.2833,64.08,56,64,4.52
288,Marsa Matruh,EG,2021-05-30 23:15:04,31.3525,27.2453,70.75,85,0,17.34
289,West Odessa,US,2021-05-30 23:15:04,31.8424,-102.4988,81.41,49,20,25.14
290,Jibuti,DJ,2021-05-30 23:13:31,11.5,42.5,83.62,31,23,2.98
291,Vila,PT,2021-05-30 23:15:05,42.0304,-8.1588,58.08,76,32,3.02
292,Mayo,US,2021-05-30 23:15:05,38.8876,-76.5119,55.81,84,90,4.0
